sample_id,z,y
3144227,0,29.815098642146125
1245948,0,30.287884521093343
3930682,0,30.632779173810164
2194643,0,30.437622637484342
2670787,0,30.89713998414122
1630950,0,30.131780755469205
1205646,1,29.312469007458144
3047159,1,30.269345926006885
2261989,0,30.274079543142633
2229904,1,30.223913550050433
2485518,0,29.935921444836662
1363334,0,29.21642796433277
629070,0,29.418325781560146
3205975,0,29.98980312086002
310171,0,30.600946858104738
2570196,1,29.883005296379288
1011252,0,30.122436084140087
2608190,0,29.784842487569495
2218384,0,30.377275047700774
3660026,0,30.514348189445297
1987609,1,30.481997758322642
2853384,1,31.28641575216287
599711,0,29.048109240165832
2504644,0,30.54751079599196
2996752,0,30.40230693020313
3663238,0,30.22668194396775
3221865,0,30.392627571174536
2567736,0,30.410360399308644
1698687,0,30.361970827043738
3740306,0,29.525429765011655
687840,1,29.81694301843451
393651,1,30.5271236949825
2209896,0,30.146066824273134
3664472,0,30.266530791608027
1870760,0,30.41201255849523
2463005,0,29.376420708938365
3007505,1,30.100732454566725
2025471,0,31.18885903583918
2158575,0,30.194330879422964
3087847,1,30.0889379271536
1209319,0,30.396765549456333
2040506,1,29.211112007420088
1137753,0,31.448421367422416
2213769,0,30.227906430752242
2490480,0,30.23959612801202
380763,1,29.767613075137124
2839362,0,30.114476531539133
1093339,0,30.569505651732328
3672543,1,29.389954051679656
3344500,0,30.598954908883243
1044634,0,31.01522398315358
2723686,1,29.170091928309844
1010844,0,30.45695707396435
2283671,0,30.024174834350408
2530312,0,30.141364063879294
3755249,0,30.690639173245735
219273,0,29.736440201142386
1236181,0,30.26845405787857
1257454,0,30.411605956160297
3366992,0,29.829556002260468
2513381,0,31.063653902775584
3759852,0,30.436430825576103
3019474,0,30.372882861525024
280164,0,29.474822036286803
423504,0,30.415765728958387
3411839,1,29.739223871541594
1834349,0,30.24027338332839
2728175,0,29.623253094929492
2456609,1,30.030940501375625
2514473,1,30.149579492766748
3064776,0,30.45552165694507
1546175,0,30.765653547552304
3744849,0,30.18398073430398
3376930,0,29.41072876027139
1137023,1,30.469740596471777
3031633,0,30.322759823942906
1402247,0,30.24545493980924
3308638,0,29.670800202887985
1753030,0,30.603393850970274
1615222,0,31.039303211362586
800608,0,30.197937082886465
2822531,0,30.16809325159912
3482052,1,28.932324075466212
3951726,1,30.025407040846606
959522,0,30.243685556620665
510978,0,29.393452167847702
3327738,0,30.504293321768245
1939811,0,30.258386777293747
1544882,0,30.061458283037553
436844,0,30.59621829162928
2560603,0,30.72152827644808
3107673,0,29.946557289762
2064626,1,30.074290401928653
2011047,0,27.952668021208726
2434744,0,29.68501811354295
2540652,0,30.585349907403604
390009,0,29.56694528936755
1083136,0,31.193400822940042
2994775,1,30.548554069512093
1693870,0,30.361968302773892
2471425,0,30.305518717483633
1934157,1,31.46397761106204
1082125,0,30.274756674977723
1316220,1,29.99616199826389
343630,0,30.354551390010585
1432369,0,30.216794117834933
2448326,0,30.493040664135233
2280634,0,30.873860951454933
3389571,0,29.21623174017988
1023973,0,29.395945726007962
1078188,0,29.91937864614843
3042841,0,30.244284938028944
1434221,0,29.985508808743678
1605115,1,29.81506171639835
2187360,0,30.15523427899747
1828208,0,30.471507251181983
3381108,1,29.994982698098063
1370956,0,30.402594923685356
1410736,0,30.246538636627605
1061519,1,29.91381799050838
3847890,0,30.249153010508742
966607,0,29.933240635044836
232411,0,27.883798327044257
1142770,0,29.929823288123252
3661182,1,29.65656857054222
759946,0,29.49112056273245
1230201,0,30.229983803466183
3080479,0,30.09464682261288
253044,0,29.66031174845535
2063250,1,30.426903623574834
2226220,0,30.05926104560004
1151895,0,30.918003347464808
899450,0,29.300737378656212
3138938,0,29.491712767118976
1252015,0,30.424190263652388
361866,0,30.133355665619238
2425526,0,29.674003950861405
887780,1,29.722771442987405
3109838,0,29.490946674923663
1684717,1,30.3747106776155
1606245,0,30.192262474292203
